Players,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Chris Bosh, PF",0.817073170732,0.817073170732,0.866028708134,0.743333333333,0.684210526316,0.564814814815,0.612676056338,0.234234234234,0.403433476395,0.277008310249,0.522727272727,0.560975609756,0.052380952381,0.528384279476,0.716981132075,0.698630136986,0.494,0.0333333333333,0.0547945205479,0.4,0.853658536585,0.761467889908,0.84,0.824175824176,0.851428571429,0.496,0.36425,0.5
"Anthony Parker, SG",1.0,1.0,0.767942583732,0.416666666667,0.157894736842,0.324074074074,0.288732394366,0.198198198198,0.412017167382,0.0581717451524,0.25,0.463414634146,0.1,0.32096069869,0.452830188679,0.461187214612,0.476,0.533333333333,0.506849315068,0.438,0.146341463415,0.137614678899,0.82,0.351648351648,0.365714285714,0.499,0.309,0.56
"Jose Calderon, PG",1.0,0.682926829268,0.724880382775,0.373333333333,0.105263157895,0.231481481481,0.204225352113,0.747747747748,0.454935622318,0.0193905817175,0.340909090909,0.390243902439,0.257142857143,0.454148471616,0.424528301887,0.392694063927,0.519,0.333333333333,0.301369863014,0.429,0.158536585366,0.137614678899,0.91,0.384615384615,0.365714285714,0.551,0.326,0.57
"Jamario Moon, SF",0.951219512195,0.914634146341,0.665071770335,0.283333333333,0.315789473684,0.462962962963,0.43661971831,0.108108108108,0.442060085837,0.382271468144,0.159090909091,0.463414634146,0.0857142857143,0.331877729258,0.339622641509,0.337899543379,0.485,0.166666666667,0.219178082192,0.328,0.0975609756098,0.100917431193,0.74,0.340659340659,0.331428571429,0.528,0.2875,0.52
"Andrea Bargnani, C",0.951219512195,0.646341463415,0.571770334928,0.34,0.157894736842,0.287037037037,0.260563380282,0.0990990990991,0.124463519313,0.130193905817,0.25,0.658536585366,0.047619047619,0.240174672489,0.339622641509,0.424657534247,0.386,0.4,0.452054794521,0.345,0.219512195122,0.201834862385,0.84,0.263736263736,0.342857142857,0.409,0.273,0.45
"Carlos Delfino, SG",1.0,0.0,0.562200956938,0.3,0.210526315789,0.333333333333,0.30985915493,0.162162162162,0.360515021459,0.0360110803324,0.204545454545,0.536585365854,0.0904761904762,0.303493449782,0.292452830189,0.351598173516,0.397,0.5,0.520547945205,0.382,0.170731707317,0.174311926606,0.74,0.175824175824,0.222857142857,0.412,0.292,0.49
"T.J. Ford, PG",0.621951219512,0.317073170732,0.562200956938,0.403333333333,0.131578947368,0.138888888889,0.140845070423,0.54954954955,0.454935622318,0.0,0.454545454545,0.439024390244,0.147619047619,0.454148471616,0.452830188679,0.470319634703,0.469,0.1,0.13698630137,0.294,0.268292682927,0.229357798165,0.88,0.494505494505,0.531428571429,0.488,0.29425,0.48
"Rasho Nesterovic, C",0.865853658537,0.475609756098,0.5,0.26,0.473684210526,0.277777777778,0.338028169014,0.108108108108,0.12017167382,0.202216066482,0.181818181818,0.463414634146,0.0666666666667,0.35807860262,0.339622641509,0.301369863014,0.55,0.0,0.0,0.333,0.0609756097561,0.0642201834862,0.76,0.395604395604,0.377142857143,0.552,0.2955,0.55
"Jason Kapono, SG",0.987804878049,0.0853658536585,0.452153110048,0.24,0.105263157895,0.101851851852,0.105633802817,0.0720720720721,0.18025751073,0.00554016620499,0.159090909091,0.390243902439,0.052380952381,0.240174672489,0.283018867925,0.278538812785,0.488,0.233333333333,0.205479452055,0.483,0.0609756097561,0.045871559633,0.86,0.252747252747,0.262857142857,0.489,0.29125,0.55
"Kris Humphries, PF",0.853658536585,0.0,0.315789473684,0.19,0.342105263158,0.222222222222,0.260563380282,0.036036036036,0.154506437768,0.1108033241,0.159090909091,0.365853658537,0.0285714285714,0.349344978166,0.216981132075,0.219178082192,0.483,0.0,0.0,0.0,0.134146341463,0.165137614679,0.6,0.252747252747,0.274285714286,0.486,0.298,0.48
