Players,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Tobias Harris, SF",0.329268292683,0.243902439024,0.932816537468,0.602787456446,0.35,0.533333333333,0.472222222222,0.189189189189,0.369294605809,0.452145214521,0.461538461538,0.868421052632,0.15,0.539432176656,0.663366336634,0.662162162162,0.453,0.285714285714,0.415584415584,0.31,0.348837209302,0.401960784314,0.72,0.655172413793,0.653409090909,0.494,0.336,0.49
"Arron Afflalo, SG",0.780487804878,0.780487804878,0.93023255814,0.574912891986,0.0833333333333,0.275,0.205555555556,0.288288288288,0.261410788382,0.0561056105611,0.564102564103,0.552631578947,0.1875,0.410094637224,0.613861386139,0.635135135135,0.439,0.314285714286,0.493506493506,0.3,0.348837209302,0.343137254902,0.86,0.586206896552,0.585227272727,0.489,0.333714285714,0.48
"Jameer Nelson, PG",0.682926829268,0.682926829268,0.912144702842,0.512195121951,0.0666666666667,0.275,0.205555555556,0.666666666667,0.526970954357,0.036303630363,0.717948717949,0.763157894737,0.3375,0.454258675079,0.544554455446,0.626126126126,0.392,0.628571428571,0.818181818182,0.341,0.186046511628,0.176470588235,0.87,0.379310344828,0.431818181818,0.435,0.301142857143,0.47
"Nikola Vucevic, C",0.939024390244,0.939024390244,0.857881136951,0.456445993031,0.583333333333,0.7,0.661111111111,0.171171171171,0.327800829876,0.339933993399,0.461538461538,0.736842105263,0.125,0.564668769716,0.594059405941,0.518018018018,0.519,0.0,0.0,0.0,0.127906976744,0.156862745098,0.68,0.689655172414,0.653409090909,0.52,0.324,0.52
"J.J. Redick, SG",0.609756097561,0.134146341463,0.813953488372,0.526132404181,0.0333333333333,0.183333333333,0.133333333333,0.396396396396,0.240663900415,0.03300330033,0.538461538462,0.368421052632,0.2625,0.507886435331,0.514851485149,0.522522522523,0.45,0.657142857143,0.779220779221,0.39,0.267441860465,0.254901960784,0.89,0.333333333333,0.318181818182,0.514,0.371142857143,0.55
"Glen Davis, PF",0.414634146341,0.40243902439,0.808785529716,0.526132404181,0.266666666667,0.466666666667,0.4,0.189189189189,0.390041493776,0.204620462046,0.487179487179,0.684210526316,0.1375,0.476340694006,0.623762376238,0.635135135135,0.448,0.0,0.012987012987,0.0,0.290697674419,0.333333333333,0.72,0.724137931034,0.795454545455,0.45,0.306,0.45
"Beno Udrih, PG",0.329268292683,0.109756097561,0.705426356589,0.355400696864,0.1,0.141666666667,0.127777777778,0.54954954955,0.385892116183,0.013201320132,0.512820512821,0.5,0.375,0.470031545741,0.356435643564,0.396396396396,0.408,0.228571428571,0.25974025974,0.396,0.255813953488,0.254901960784,0.86,0.32183908046,0.386363636364,0.411,0.33,0.45
"Maurice Harkless, SF",0.926829268293,0.719512195122,0.671834625323,0.285714285714,0.266666666667,0.233333333333,0.244444444444,0.0630630630631,0.48132780083,0.270627062706,0.230769230769,0.5,0.0875,0.394321766562,0.336633663366,0.333333333333,0.461,0.114285714286,0.194805194805,0.274,0.116279069767,0.166666666667,0.57,0.344827586207,0.335227272727,0.51,0.316571428571,0.49
"E'Twaun Moore, SG",0.914634146341,0.256097560976,0.578811369509,0.271777003484,0.1,0.133333333333,0.122222222222,0.243243243243,0.282157676349,0.102310231023,0.358974358974,0.421052631579,0.25,0.340694006309,0.316831683168,0.36036036036,0.396,0.257142857143,0.337662337662,0.34,0.0697674418605,0.078431372549,0.8,0.264367816092,0.306818181818,0.424,0.280857142857,0.45
"Hedo Turkoglu, SF",0.134146341463,0.0121951219512,0.444444444444,0.101045296167,0.0666666666667,0.166666666667,0.133333333333,0.189189189189,0.265560165975,0.029702970297,0.282051282051,0.263157894737,0.2375,0.107255520505,0.128712871287,0.216216216216,0.264,0.0285714285714,0.285714285714,0.042,0.0348837209302,0.0490196078431,0.5,0.137931034483,0.147727272727,0.448,0.172571428571,0.27
