Players,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Paul Millsap, PF",0.890243902439,0.890243902439,0.84496124031,0.594306049822,0.358490566038,0.584158415842,0.52,0.287037037037,0.770562770563,0.37109375,0.522727272727,0.682926829268,0.1625,0.452702702703,0.648936170213,0.577272727273,0.476,0.305555555556,0.37037037037,0.356,0.397727272727,0.450980392157,0.76,0.568181818182,0.527173913043,0.513,0.3275,0.52
"Kyle Korver, SG",0.914634146341,0.914634146341,0.832041343669,0.430604982206,0.0377358490566,0.386138613861,0.273333333333,0.240740740741,0.298701298701,0.21875,0.318181818182,0.463414634146,0.225,0.333333333333,0.414893617021,0.363636363636,0.487,0.805555555556,0.740740740741,0.492,0.159090909091,0.156862745098,0.9,0.113636363636,0.108695652174,0.47,0.3795,0.67
"DeMarre Carroll, SF",0.853658536585,0.841463414634,0.808785529716,0.448398576512,0.264150943396,0.386138613861,0.353333333333,0.157407407407,0.580086580087,0.09375,0.25,0.536585365854,0.2,0.358108108108,0.478723404255,0.422727272727,0.487,0.472222222222,0.530864197531,0.395,0.204545454545,0.254901960784,0.7,0.318181818182,0.271739130435,0.567,0.338,0.58
"Jeff Teague, PG",0.890243902439,0.878048780488,0.78811369509,0.565836298932,0.0754716981132,0.207920792079,0.166666666667,0.648148148148,0.74025974026,0.1640625,0.636363636364,0.463414634146,0.3125,0.463963963964,0.595744680851,0.554545454545,0.46,0.277777777778,0.345679012346,0.343,0.431818181818,0.43137254902,0.86,0.522727272727,0.510869565217,0.496,0.3275,0.5
"Al Horford, C",0.926829268293,0.926829268293,0.78811369509,0.540925266904,0.320754716981,0.534653465347,0.48,0.296296296296,0.385281385281,0.50390625,0.295454545455,0.390243902439,0.3,0.481981981982,0.723404255319,0.577272727273,0.538,0.0277777777778,0.0617283950617,0.306,0.159090909091,0.186274509804,0.76,0.761363636364,0.663043478261,0.547,0.2995,0.54
"Dennis Schroder, PG",0.939024390244,0.121951219512,0.509043927649,0.355871886121,0.0754716981132,0.178217821782,0.14,0.37962962963,0.277056277056,0.01953125,0.431818181818,0.390243902439,0.2625,0.353603603604,0.393617021277,0.390909090909,0.427,0.194444444444,0.234567901235,0.351,0.215909090909,0.225490196078,0.83,0.340909090909,0.364130434783,0.449,0.28875,0.47
"Thabo Sefolosha, SF",0.634146341463,0.0853658536585,0.485788113695,0.188612099644,0.188679245283,0.326732673267,0.286666666667,0.12962962963,0.441558441558,0.15625,0.159090909091,0.317073170732,0.25,0.310810810811,0.212765957447,0.218181818182,0.418,0.138888888889,0.185185185185,0.321,0.102272727273,0.107843137255,0.78,0.170454545455,0.179347826087,0.462,0.279,0.47
"Kent Bazemore, SF",0.914634146341,0.121951219512,0.457364341085,0.185053380783,0.0566037735849,0.267326732673,0.2,0.0925925925926,0.298701298701,0.171875,0.227272727273,0.414634146341,0.1375,0.218468468468,0.202127659574,0.2,0.426,0.166666666667,0.222222222222,0.364,0.0909090909091,0.127450980392,0.6,0.147727272727,0.141304347826,0.467,0.2945,0.5
"Mike Scott, PF",0.829268292683,0.0,0.426356589147,0.277580071174,0.132075471698,0.227722772277,0.193333333333,0.101851851852,0.160173160173,0.015625,0.136363636364,0.292682926829,0.2375,0.34009009009,0.31914893617,0.304545454545,0.444,0.277777777778,0.345679012346,0.344,0.102272727273,0.107843137255,0.79,0.227272727273,0.211956521739,0.517,0.292,0.52
"Pero Antic, PF",0.768292682927,0.0365853658537,0.426356589147,0.202846975089,0.169811320755,0.207920792079,0.2,0.0740740740741,0.125541125541,0.0859375,0.181818181818,0.512195121951,0.125,0.216216216216,0.18085106383,0.213636363636,0.365,0.222222222222,0.333333333333,0.301,0.159090909091,0.196078431373,0.72,0.102272727273,0.108695652174,0.455,0.30075,0.45
