Players,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Mark Jackson, PG",1.0,0.987804878049,0.9200968523,0.441717791411,0.271186440678,0.260162601626,0.256830601093,0.733333333333,0.586572438163,0.0359712230216,0.658536585366,0.413043478261,0.6,0.44094488189,0.447470817121,0.486,0.15,0.188679245283,0.455782312925,0.386666666667,0.362745098039,0.8,0.452991452991,0.460526315789,0.506,0.5,0.5
"Ron Harper, G",0.975609756098,0.939024390244,0.898305084746,0.552147239264,0.254237288136,0.317073170732,0.289617486339,0.375,0.780918727915,0.218225419664,0.682926829268,0.586956521739,0.290909090909,0.535433070866,0.583657587549,0.451,0.35,0.433962264151,0.47619047619,0.506666666667,0.490196078431,0.77,0.521367521368,0.55701754386,0.482,0.48,0.47
"Danny Manning, F",0.963414634146,0.939024390244,0.845036319613,0.699386503067,0.423728813559,0.333333333333,0.360655737705,0.216666666667,0.484098939929,0.306954436451,0.707317073171,0.891304347826,0.163636363636,0.700787401575,0.68093385214,0.509,0.05,0.0754716981132,0.454081632653,0.653333333333,0.598039215686,0.8,0.752136752137,0.75,0.514,0.522,0.51
"Ken Norman, F",0.926829268293,0.865853658537,0.789346246973,0.460122699387,0.474576271186,0.390243902439,0.409836065574,0.183333333333,0.275618374558,0.182254196643,0.390243902439,0.45652173913,0.236363636364,0.51968503937,0.498054474708,0.511,0.05,0.0943396226415,0.447278911565,0.226666666667,0.28431372549,0.6,0.555555555556,0.539473684211,0.521,0.4664,0.52
"Stanley Roberts, C",0.939024390244,0.926829268293,0.571428571429,0.346625766871,0.406779661017,0.317073170732,0.338797814208,0.0666666666667,0.155477031802,0.438848920863,0.390243902439,0.934782608696,0.0909090909091,0.385826771654,0.357976653696,0.527,0.0,0.0,0.0,0.213333333333,0.313725490196,0.49,0.418803418803,0.40350877193,0.527,0.4896,0.53
"John S. Williams, F",0.90243902439,0.0975609756098,0.535108958838,0.20245398773,0.203389830508,0.252032520325,0.234972677596,0.158333333333,0.395759717314,0.0743405275779,0.268292682927,0.54347826087,0.327272727273,0.220472440945,0.249027237354,0.43,0.1,0.132075471698,0.384353741497,0.12,0.166666666667,0.54,0.222222222222,0.25,0.455,0.4124,0.44
"Gary Grant, G",0.90243902439,0.0975609756098,0.530266343826,0.20245398773,0.0677966101695,0.121951219512,0.103825136612,0.4,0.505300353357,0.0287769784173,0.414634146341,0.5,0.490909090909,0.220472440945,0.249027237354,0.441,0.05,0.11320754717,0.445578231293,0.0933333333333,0.0980392156863,0.74,0.230769230769,0.254385964912,0.459,0.4084,0.45
"Loy Vaught, F",0.963414634146,0.0487804878049,0.506053268765,0.288343558282,0.35593220339,0.341463414634,0.338797814208,0.0583333333333,0.247349823322,0.117505995204,0.268292682927,0.478260869565,0.127272727273,0.314960629921,0.303501945525,0.508,0.0,0.0188679245283,0.425170068027,0.2,0.196078431373,0.75,0.34188034188,0.337719298246,0.51,0.4824,0.51
"Lester Conner, G",0.378048780488,0.0,0.329297820823,0.0736196319018,0.0847457627119,0.0894308943089,0.0874316939891,0.175,0.388692579505,0.031175059952,0.170731707317,0.282608695652,0.563636363636,0.0708661417323,0.0778210116732,0.452,0.0,0.0,0.0,0.08,0.0588235294118,0.95,0.0769230769231,0.0877192982456,0.452,0.4776,0.45
"Jaren Jackson, G",0.414634146341,0.0,0.249394673123,0.11963190184,0.101694915254,0.0487804878049,0.0601092896175,0.0833333333333,0.197879858657,0.0359712230216,0.121951219512,0.282608695652,0.381818181818,0.125984251969,0.147859922179,0.414,0.05,0.0188679245283,0.680272108844,0.0933333333333,0.078431372549,0.85,0.128205128205,0.162280701754,0.415,0.4092,0.42
